                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    144,                 2.2372,                  2.122,                 1.6912,                0.29799,                0.25181,                0.21415,                0.08648,                 2.5524,                 2.4915,                 2.1349,             0.00022466,             0.00022466,             0.00022466
                    145,                 2.1946,                  2.086,                 1.6626,                0.31375,                0.23846,                0.19979,                 0.0819,                 2.5538,                 2.4997,                 2.1249,             0.00022086,             0.00022086,             0.00022086
                    146,                 2.2192,                 2.1025,                 1.6725,                0.24816,                 0.2744,                 0.2005,                0.07886,                 2.5598,                 2.4963,                 2.1278,             0.00021705,             0.00021705,             0.00021705
                    147,                 2.2309,                 2.1305,                 1.6877,                 0.3153,                 0.2467,                 0.2335,                0.10343,                 2.5691,                 2.5154,                 2.1208,             0.00021324,             0.00021324,             0.00021324
                    148,                 2.1751,                 2.0949,                 1.6801,                0.27907,                0.25862,                0.20153,                0.07914,                 2.5678,                 2.5116,                 2.1326,             0.00020944,             0.00020944,             0.00020944
                    149,                 2.2061,                 2.0673,                 1.6625,                0.22715,                0.33066,                0.20439,                0.08018,                 2.5624,                  2.521,                 2.1347,             0.00020563,             0.00020563,             0.00020563
                    150,                 2.2048,                 2.0818,                 1.6647,                0.25902,                0.30928,                0.20318,                0.08194,                 2.5635,                 2.5106,                 2.1391,             0.00020182,             0.00020182,             0.00020182
                    151,                 2.2017,                 2.0907,                 1.6821,                0.27771,                0.25228,                0.19454,                0.07691,                 2.5722,                 2.5177,                 2.1309,             0.00019802,             0.00019802,             0.00019802
                    152,                 2.2094,                 2.0882,                 1.6862,                0.31906,                0.24817,                0.20377,                0.07878,                 2.5728,                 2.5092,                 2.1441,             0.00019421,             0.00019421,             0.00019421
                    153,                 2.2104,                 2.1048,                 1.6831,                0.28912,                0.23553,                0.20096,                0.07901,                 2.5641,                 2.5107,                 2.1384,              0.0001904,              0.0001904,              0.0001904
                    154,                 2.2108,                 2.0693,                  1.671,                0.31187,                0.24774,                0.21015,                0.08049,                  2.564,                 2.5098,                 2.1369,              0.0001866,              0.0001866,              0.0001866
                    155,                  2.225,                 2.0635,                 1.6662,                  0.312,                0.23992,                0.19969,                0.08014,                 2.5663,                 2.5192,                 2.1492,             0.00018279,             0.00018279,             0.00018279
                    156,                  2.191,                 2.0791,                 1.6724,                0.28348,                   0.26,                0.21156,                0.08269,                 2.5722,                 2.5109,                  2.142,             0.00017898,             0.00017898,             0.00017898
                    157,                 2.1961,                 2.0893,                 1.6798,                0.29721,                0.24655,                0.20312,                0.08096,                 2.5715,                 2.4998,                 2.1511,             0.00017518,             0.00017518,             0.00017518
                    158,                 2.2188,                 2.0457,                 1.6643,                0.28136,                 0.2611,                0.19787,                0.07814,                 2.5811,                 2.5171,                  2.158,             0.00017137,             0.00017137,             0.00017137
                    159,                 2.2042,                 2.0646,                 1.6713,                0.29131,                0.25543,                0.20352,                0.07976,                 2.5703,                 2.5232,                 2.1374,             0.00016757,             0.00016757,             0.00016757
                    160,                  2.208,                 2.0433,                   1.66,                0.28362,                0.25286,                0.20394,                0.08055,                 2.5734,                 2.5111,                 2.1414,             0.00016376,             0.00016376,             0.00016376
                    161,                 2.2106,                 2.0726,                 1.6611,                0.28274,                0.25929,                0.23453,                 0.1032,                 2.5638,                  2.503,                 2.1409,             0.00015995,             0.00015995,             0.00015995
                    162,                 2.1825,                 2.0321,                 1.6674,                0.27397,                0.26899,                0.23287,                0.10139,                 2.5697,                 2.5037,                 2.1237,             0.00015615,             0.00015615,             0.00015615
                    163,                 2.1981,                 2.0456,                 1.6589,                0.27966,                0.24908,                0.21518,                0.09001,                 2.5715,                  2.504,                 2.1406,             0.00015234,             0.00015234,             0.00015234
                    164,                 2.1824,                 2.0384,                 1.6544,                0.29025,                0.24674,                0.21174,                0.08475,                 2.5769,                 2.5123,                 2.1449,             0.00014853,             0.00014853,             0.00014853
                    165,                  2.194,                 2.0547,                 1.6625,                0.29054,                0.24973,                0.21127,                0.08854,                 2.5793,                 2.5035,                 2.1515,             0.00014473,             0.00014473,             0.00014473
                    166,                 2.1733,                 2.0199,                 1.6487,                0.28991,                0.24988,                0.20886,                0.08649,                 2.5747,                 2.5097,                 2.1535,             0.00014092,             0.00014092,             0.00014092
                    167,                 2.1724,                  2.031,                 1.6554,                0.28987,                0.25478,                0.19747,                0.08004,                 2.5791,                 2.5187,                 2.1555,             0.00013711,             0.00013711,             0.00013711
                    168,                 2.1567,                 2.0032,                 1.6434,                0.29528,                0.25604,                0.23011,                0.10069,                 2.5837,                 2.5157,                 2.1623,             0.00013331,             0.00013331,             0.00013331
                    169,                 2.1821,                 2.0439,                 1.6609,                0.29754,                 0.2465,                0.22604,                0.09786,                 2.5856,                 2.5152,                 2.1686,              0.0001295,              0.0001295,              0.0001295
                    170,                 2.1618,                 2.0033,                 1.6508,                0.28111,                 0.2568,                0.23373,                0.09739,                 2.5827,                 2.5244,                 2.1603,             0.00012569,             0.00012569,             0.00012569
                    171,                 2.1655,                 2.0135,                 1.6573,                0.32288,                0.23767,                0.23602,                0.10099,                 2.5854,                 2.5215,                 2.1637,             0.00012189,             0.00012189,             0.00012189
                    172,                 2.1767,                 2.0082,                 1.6399,                0.27856,                0.26813,                0.21224,                0.08609,                 2.5879,                 2.5282,                 2.1652,             0.00011808,             0.00011808,             0.00011808
                    173,                  2.172,                 2.0065,                 1.6389,                0.31533,                0.23753,                 0.2294,                 0.0974,                  2.599,                 2.5167,                  2.168,             0.00011427,             0.00011427,             0.00011427
                    174,                 2.1709,                 1.9766,                 1.6253,                0.27511,                0.26585,                 0.2304,                0.09799,                 2.5922,                 2.5152,                 2.1656,             0.00011047,             0.00011047,             0.00011047
                    175,                 2.1691,                 1.9944,                  1.635,                0.26987,                0.26134,                0.23483,                0.10104,                 2.5981,                 2.5142,                 2.1744,             0.00010666,             0.00010666,             0.00010666
                    176,                 2.1553,                 2.0174,                 1.6388,                0.30363,                0.25186,                  0.236,                0.10115,                  2.593,                 2.5315,                 2.1701,             0.00010285,             0.00010285,             0.00010285
                    177,                 2.1623,                 1.9716,                 1.6212,                0.30453,                 0.2711,                0.23738,                0.09894,                 2.5874,                 2.5231,                 2.1605,             9.9047e-05,             9.9047e-05,             9.9047e-05
                    178,                 2.1454,                 1.9757,                 1.6327,                0.27233,                0.27108,                0.23486,                0.09725,                 2.5871,                 2.5229,                 2.1545,             9.5241e-05,             9.5241e-05,             9.5241e-05
                    179,                 2.1643,                 2.0123,                 1.6574,                0.29526,                 0.2632,                 0.2312,                0.09894,                 2.5928,                 2.5203,                 2.1688,             9.1434e-05,             9.1434e-05,             9.1434e-05
                    180,                 2.1519,                 1.9909,                 1.6375,                0.27026,                0.27413,                0.23376,                0.10094,                 2.5919,                  2.527,                 2.1709,             8.7628e-05,             8.7628e-05,             8.7628e-05
                    181,                 2.1541,                 1.9877,                 1.6359,                0.28513,                0.27564,                0.23662,                 0.1025,                 2.5829,                 2.5171,                 2.1615,             8.3821e-05,             8.3821e-05,             8.3821e-05
                    182,                  2.145,                 2.0109,                 1.6418,                0.28477,                0.26699,                0.23832,                0.09995,                 2.5853,                 2.5189,                 2.1609,             8.0014e-05,             8.0014e-05,             8.0014e-05
                    183,                 2.1611,                 1.9771,                 1.6314,                0.31676,                0.24271,                0.23733,                0.10399,                 2.5867,                 2.5198,                 2.1684,             7.6208e-05,             7.6208e-05,             7.6208e-05
                    184,                 2.1457,                 1.9792,                 1.6247,                0.27446,                0.26901,                0.23875,                0.10515,                 2.5869,                 2.5093,                 2.1669,             7.2401e-05,             7.2401e-05,             7.2401e-05
                    185,                 2.1518,                 1.9607,                 1.6291,                0.30329,                0.25233,                0.23839,                0.10427,                  2.591,                 2.5166,                 2.1728,             6.8595e-05,             6.8595e-05,             6.8595e-05
                    186,                 2.1591,                 1.9678,                 1.6258,                0.31388,                0.25561,                0.23703,                0.10219,                 2.5968,                 2.5201,                 2.1793,             6.4788e-05,             6.4788e-05,             6.4788e-05
                    187,                 2.1545,                 1.9926,                 1.6398,                0.28415,                0.27189,                0.21851,                0.09006,                 2.5903,                   2.53,                 2.1745,             6.0982e-05,             6.0982e-05,             6.0982e-05
                    188,                  2.146,                 1.9746,                 1.6413,                0.30441,                0.26487,                0.21572,                0.08953,                 2.5922,                 2.5305,                 2.1761,             5.7175e-05,             5.7175e-05,             5.7175e-05
                    189,                 2.1331,                 1.9654,                 1.6292,                0.29102,                0.25865,                 0.2134,                 0.0917,                  2.601,                 2.5332,                  2.179,             5.3369e-05,             5.3369e-05,             5.3369e-05
                    190,                 2.1562,                 1.9667,                 1.6182,                0.30317,                0.26552,                0.23429,                0.10115,                 2.5994,                 2.5276,                 2.1796,             4.9562e-05,             4.9562e-05,             4.9562e-05
                    191,                 2.1326,                 1.9161,                 1.6661,                0.29711,                0.26589,                0.23317,                0.10238,                 2.5966,                 2.5279,                 2.1692,             4.5756e-05,             4.5756e-05,             4.5756e-05
                    192,                 2.1262,                 1.9117,                 1.6665,                0.28659,                0.26195,                0.23404,                0.10095,                 2.6024,                  2.533,                  2.173,             4.1949e-05,             4.1949e-05,             4.1949e-05
                    193,                 2.1238,                 1.8835,                 1.6631,                 0.3056,                0.25621,                0.23651,                0.10165,                 2.6059,                 2.5284,                 2.1796,             3.8142e-05,             3.8142e-05,             3.8142e-05
                    194,                  2.101,                  1.869,                 1.6502,                0.30679,                0.25864,                0.23887,                0.10374,                 2.6023,                 2.5315,                 2.1794,             3.4336e-05,             3.4336e-05,             3.4336e-05
                    195,                 2.1019,                 1.8692,                  1.651,                0.27921,                0.25993,                0.23553,                0.10358,                 2.6053,                 2.5331,                 2.1831,             3.0529e-05,             3.0529e-05,             3.0529e-05
                    196,                 2.1149,                 1.8718,                 1.6458,                0.29457,                0.26127,                0.23658,                0.10434,                 2.6071,                  2.531,                 2.1844,             2.6723e-05,             2.6723e-05,             2.6723e-05
                    197,                 2.1045,                 1.8655,                 1.6513,                0.28994,                0.26122,                0.23672,                0.10287,                 2.6045,                 2.5277,                 2.1842,             2.2916e-05,             2.2916e-05,             2.2916e-05
                    198,                 2.1141,                 1.8707,                 1.6508,                0.28397,                0.26061,                0.23753,                 0.1041,                  2.603,                 2.5317,                 2.1853,              1.911e-05,              1.911e-05,              1.911e-05
                    199,                 2.0982,                 1.8579,                 1.6449,                0.29634,                0.26054,                0.23589,                0.10304,                 2.6008,                 2.5277,                 2.1846,             1.5303e-05,             1.5303e-05,             1.5303e-05
                    200,                 2.0924,                 1.8408,                 1.6326,                0.28559,                0.27049,                0.23553,                0.10296,                 2.6021,                 2.5345,                 2.1863,             1.1497e-05,             1.1497e-05,             1.1497e-05
