                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5957,                 2.7582,                 1.9736,                0.34092,                0.14509,                0.10948,                0.04047,                 2.5617,                 2.7601,                 2.1187,             0.00064338,             0.00064338,             0.00064338
                     35,                 2.5719,                 2.7456,                 1.9794,                0.35887,                0.16468,                0.12557,                0.04677,                 2.5724,                 2.7429,                 2.1233,             0.00063958,             0.00063958,             0.00063958
                     36,                 2.5574,                 2.7524,                 1.9804,                0.48666,                0.13878,                0.10762,                0.04061,                 2.5915,                 2.7191,                 2.1617,             0.00063577,             0.00063577,             0.00063577
                     37,                 2.5758,                 2.7628,                 1.9607,                0.33524,                0.12877,                0.12556,                0.04594,                 2.5585,                 2.6979,                 2.1541,             0.00063196,             0.00063196,             0.00063196
                     38,                 2.5433,                 2.6779,                 1.9391,                0.38625,                0.16427,                0.12726,                0.04438,                 2.5444,                 2.6932,                 2.1489,             0.00062816,             0.00062816,             0.00062816
                     39,                 2.5531,                 2.6796,                 1.9617,                0.33467,                0.16191,                0.14622,                0.06017,                 2.5448,                 2.6725,                 2.1684,             0.00062435,             0.00062435,             0.00062435
                     40,                 2.5444,                 2.7072,                 1.9621,                0.33217,                0.18943,                0.13653,                0.04635,                 2.5603,                 2.7302,                 2.1366,             0.00062054,             0.00062054,             0.00062054
                     41,                 2.5428,                 2.6765,                 1.9493,                 0.2498,                0.19045,                0.12697,                0.04269,                 2.5767,                 2.7216,                 2.1629,             0.00061674,             0.00061674,             0.00061674
                     42,                 2.5389,                  2.658,                 1.9276,                0.23588,                0.16217,                  0.094,                0.03499,                 2.5328,                 2.6613,                 2.1324,             0.00061293,             0.00061293,             0.00061293
                     43,                 2.5178,                   2.66,                 1.9357,                0.23169,                0.19551,                0.13961,                0.04918,                 2.5288,                 2.7148,                 2.1559,             0.00060912,             0.00060912,             0.00060912
                     44,                 2.5254,                 2.6635,                 1.9489,                0.21679,                0.19224,                 0.1209,                0.04158,                 2.5454,                 2.6585,                 2.1266,             0.00060532,             0.00060532,             0.00060532
                     45,                 2.5184,                 2.6554,                 1.9338,                 0.2881,                0.18589,                 0.1341,                0.04891,                 2.5274,                 2.6477,                 2.1259,             0.00060151,             0.00060151,             0.00060151
                     46,                 2.5029,                 2.6385,                  1.924,                0.20472,                 0.2055,                 0.1417,                0.05475,                 2.5369,                 2.6539,                  2.116,             0.00059771,             0.00059771,             0.00059771
                     47,                 2.5221,                 2.6416,                  1.916,                0.27597,                0.18571,                0.12365,                0.04659,                  2.555,                 2.7322,                 2.1231,              0.0005939,              0.0005939,              0.0005939
                     48,                 2.5065,                 2.6317,                 1.9167,                0.28034,                0.20967,                0.13443,                0.05168,                 2.5355,                  2.653,                 2.1592,             0.00059009,             0.00059009,             0.00059009
                     49,                 2.5063,                 2.5989,                 1.8909,                0.32253,                0.17162,                0.14939,                0.05852,                 2.5267,                 2.6757,                 2.1318,             0.00058629,             0.00058629,             0.00058629
                     50,                   2.51,                 2.6243,                 1.9192,                0.26112,                0.18692,                0.13364,                0.05402,                 2.5349,                 2.6716,                 2.1249,             0.00058248,             0.00058248,             0.00058248
                     51,                  2.503,                 2.6191,                 1.9034,                0.26915,                 0.1876,                0.10546,                0.03671,                 2.5315,                 2.6603,                 2.0875,             0.00057867,             0.00057867,             0.00057867
                     52,                 2.5088,                 2.6054,                 1.9235,                0.28575,                0.19421,                0.13062,                0.04458,                 2.5216,                 2.6509,                 2.1233,             0.00057487,             0.00057487,             0.00057487
                     53,                 2.4608,                 2.5664,                  1.893,                0.29489,                0.19048,                0.14425,                0.05383,                 2.5118,                 2.6167,                 2.0945,             0.00057106,             0.00057106,             0.00057106
                     54,                 2.4949,                 2.5685,                 1.8844,                 0.2889,                0.19527,                0.13355,                0.04926,                 2.5292,                  2.629,                 2.0841,             0.00056725,             0.00056725,             0.00056725
                     55,                 2.4767,                 2.5757,                 1.8859,                0.34321,                 0.1915,                0.14389,                0.05108,                 2.5322,                 2.6435,                 2.0876,             0.00056345,             0.00056345,             0.00056345
                     56,                 2.4647,                 2.5353,                  1.876,                0.39044,                0.18386,                0.13058,                0.04564,                 2.5108,                 2.6269,                 2.1211,             0.00055964,             0.00055964,             0.00055964
                     57,                 2.4697,                 2.5522,                 1.8897,                0.31895,                0.21117,                0.14966,                0.05485,                 2.5022,                 2.6108,                 2.1144,             0.00055583,             0.00055583,             0.00055583
                     58,                 2.4791,                 2.5456,                 1.8877,                0.29824,                0.22562,                0.15595,                  0.058,                 2.5122,                 2.5975,                 2.1238,             0.00055203,             0.00055203,             0.00055203
                     59,                 2.4598,                 2.5411,                 1.8825,                0.31155,                0.20171,                0.13756,                0.04812,                 2.5061,                 2.6188,                 2.0849,             0.00054822,             0.00054822,             0.00054822
                     60,                 2.4491,                 2.5363,                 1.8833,                0.25791,                0.21343,                0.13892,                0.05037,                 2.5095,                 2.6246,                 2.0936,             0.00054441,             0.00054441,             0.00054441
                     61,                 2.4707,                 2.5549,                 1.8601,                0.28469,                0.19932,                 0.1423,                0.05223,                 2.5497,                 2.6645,                 2.0916,             0.00054061,             0.00054061,             0.00054061
                     62,                 2.4584,                 2.5155,                 1.8529,                0.34316,                0.19197,                0.13865,                0.05017,                 2.4936,                  2.622,                 2.0699,              0.0005368,              0.0005368,              0.0005368
                     63,                 2.4274,                 2.5286,                 1.8699,                0.31948,                0.20871,                0.15499,                0.05207,                 2.5374,                 2.5816,                 2.1017,             0.00053299,             0.00053299,             0.00053299
                     64,                 2.4502,                 2.5384,                 1.8756,                0.31281,                0.20945,                0.16618,                0.06321,                 2.4866,                 2.5938,                 2.0537,             0.00052919,             0.00052919,             0.00052919
                     65,                 2.4542,                 2.5335,                 1.8733,                0.30946,                0.21679,                0.18939,                0.07234,                 2.5021,                 2.5881,                 2.0952,             0.00052538,             0.00052538,             0.00052538
                     66,                 2.4243,                 2.4616,                 1.8291,                0.30857,                0.22357,                0.16554,                0.06537,                 2.4864,                 2.5828,                 2.0616,             0.00052157,             0.00052157,             0.00052157
                     67,                 2.4406,                 2.5029,                   1.85,                0.28836,                0.18074,                0.13627,                0.05201,                 2.5061,                 2.6328,                 2.0813,             0.00051777,             0.00051777,             0.00051777
                     68,                 2.4377,                 2.4973,                 1.8679,                 0.2998,                0.22471,                0.16319,                0.06589,                 2.5102,                 2.5928,                 2.1189,             0.00051396,             0.00051396,             0.00051396
                     69,                 2.4098,                 2.4634,                  1.838,                0.31763,                0.21761,                0.19112,                0.08486,                 2.4975,                 2.5483,                 2.0803,             0.00051015,             0.00051015,             0.00051015
                     70,                 2.4253,                 2.5312,                 1.8578,                0.19706,                 0.2376,                0.18019,                0.06875,                  2.493,                 2.6134,                 2.0762,             0.00050635,             0.00050635,             0.00050635
                     71,                 2.4103,                 2.4625,                 1.8418,                0.19324,                0.25943,                0.19823,                0.08483,                 2.5203,                 2.5567,                 2.1085,             0.00050254,             0.00050254,             0.00050254
                     72,                 2.4242,                 2.4773,                 1.8477,                0.21009,                0.24744,                0.16185,                0.06329,                 2.5094,                 2.5654,                 2.0816,             0.00049873,             0.00049873,             0.00049873
                     73,                 2.4097,                 2.4881,                   1.84,                0.19429,                0.24567,                0.17895,                0.06922,                  2.496,                 2.5702,                 2.0904,             0.00049493,             0.00049493,             0.00049493
                     74,                  2.432,                 2.4637,                 1.8391,                0.19137,                0.26231,                0.15973,                0.06083,                 2.5205,                 2.5777,                 2.1033,             0.00049112,             0.00049112,             0.00049112
                     75,                 2.4172,                 2.4395,                 1.8241,                0.26282,                0.25781,                0.20055,                 0.0816,                 2.5007,                   2.57,                 2.0873,             0.00048732,             0.00048732,             0.00048732
                     76,                 2.4089,                 2.4332,                 1.8107,                0.18821,                0.22283,                0.16137,                0.06272,                 2.4679,                 2.5737,                 2.0905,             0.00048351,             0.00048351,             0.00048351
                     77,                 2.3987,                 2.4226,                 1.8063,                0.21348,                0.20374,                0.14653,                0.05463,                 2.5055,                 2.5677,                 2.0745,              0.0004797,              0.0004797,              0.0004797
                     78,                 2.3897,                 2.4331,                 1.8217,                0.35596,                0.19055,                0.16974,                0.06037,                 2.4949,                 2.6089,                 2.0902,              0.0004759,              0.0004759,              0.0004759
